,model,train_r2,test_r2,mae,rmse,mape,cv_r2_mean,cv_mae_mean
Linear Regression,LinearRegression(),0.8171942922032471,0.8185188273931101,202116.07359657972,280341.1768854909,20.857653229468305,0.7896736568064491,186764.77054553892
Ridge,Ridge(alpha=10),0.8015191107346248,0.8048800044831093,205109.62598472487,290684.5788107897,19.83658916513103,0.7795678156626329,188994.00048396172
Lasso,"Lasso(alpha=1, max_iter=5000)",0.8171942897536031,0.8185213456170835,202112.4389204931,280339.2318784381,20.85677474281286,0.789675079195464,186762.77337091966
Decision Tree,"DecisionTreeRegressor(max_depth=15, min_samples_split=5, random_state=42)",0.9719629470337311,0.7032365023528333,250882.01684684685,358489.4211325106,24.292722005238527,0.6128349735490323,233338.44864396862
Random Forest,"RandomForestRegressor(max_depth=20, min_samples_split=5, n_jobs=-1,
                      random_state=42)",0.9510375293222655,0.814280834292433,197966.61511578664,283595.58524322545,19.62017354222554,0.7665700905427137,188445.42500695327
Gradient Boosting,"GradientBoostingRegressor(max_depth=5, random_state=42)",0.9609372037860338,0.82688608135653,185807.11757249825,273802.30346166756,18.13241788171655,0.7822172021681124,174723.9771950161
