price,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse,total_rooms,bath_room_ratio,surface_per_room,equipment_score,city_Agadir,city_Bouskoura,city_Casablanca,city_El Jadida,city_Fès,city_Kénitra,city_Marrakech,city_Meknès,city_Mohammedia,city_Rabat,city_Salé,city_Tanger,city_Temara,city_other
980000.0,2.0,82.0,1,0,0,1,1,1,0,1,1,1,1,3.0,0.5,20.5,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
850000.0,1.0,81.0,1,1,0,1,0,1,0,0,0,0,0,3.0,0.25,20.25,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
650000.0,1.0,55.0,0,0,0,0,0,0,0,1,1,1,0,3.0,0.25,13.75,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
480000.0,1.0,54.0,0,1,0,0,1,0,0,0,1,1,0,3.0,0.25,13.5,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
570000.0,1.0,78.0,0,1,0,0,0,0,0,0,0,0,0,3.0,0.25,19.5,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1080000.0,2.0,124.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.5,31.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1000000.0,2.0,130.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.4,26.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1200000.0,1.0,89.0,1,1,0,1,0,1,0,1,1,0,0,3.0,0.25,22.25,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
500000.0,1.0,57.0,0,0,1,1,1,1,0,1,1,1,0,3.0,0.25,14.25,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
900000.0,1.0,89.0,1,1,0,0,0,0,0,0,0,1,0,4.0,0.2,17.8,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1100000.0,1.0,89.0,0,1,0,0,0,1,0,0,1,0,0,3.0,0.25,22.25,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
500000.0,2.0,53.0,1,1,1,0,1,1,0,0,1,1,0,3.0,0.5,13.25,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
780000.0,1.0,72.0,0,1,0,0,0,1,0,1,0,1,0,3.0,0.25,18.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True
870000.0,2.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.5,20.25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
640000.0,1.0,52.0,1,1,0,1,1,1,0,0,1,1,1,2.0,0.3333333333333333,17.333333333333332,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True
680000.0,1.0,63.0,1,1,1,1,1,1,0,0,1,1,1,2.0,0.3333333333333333,21.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True
